init,final,1,x,y,target
0,0,1,1,200,1
0,0,1,3,199,1
0,0,1,5,198,1
0,0,1,7,197,1
0,0,1,9,196,1
0,0,1,11,195,1
0,0,1,13,194,1
0,0,1,15,193,1
0,0,1,17,192,1
0,0,1,19,191,1
0,0,1,21,190,1
0,0,1,23,189,1
0,0,1,25,188,1
0,0,1,27,187,1
0,0,1,29,186,1
0,0,1,31,185,1
0,0,1,33,184,1
0,0,1,35,183,1
0,0,1,37,182,1
0,0,1,39,181,1
0,0,1,41,180,1
0,0,1,43,179,1
0,0,1,45,178,1
0,0,1,47,177,1
0,0,1,49,176,1
0,0,1,51,175,1
0,0,1,53,174,1
0,0,1,55,173,1
0,0,1,57,172,1
0,0,1,59,171,1
0,0,1,61,170,1
0,0,1,63,169,1
0,0,1,65,168,1
0,0,1,67,167,1
0,0,1,69,166,1
0,0,1,71,165,1
0,0,1,73,164,1
0,0,1,75,163,1
0,0,1,77,162,1
0,0,1,79,161,1
0,0,1,81,160,1
0,0,1,83,159,1
0,0,1,85,158,1
0,0,1,87,157,1
0,0,1,89,156,1
0,0,1,91,155,1
0,0,1,93,154,1
0,0,1,95,153,1
0,0,1,97,152,1
0,0,1,99,151,1
0,0,1,101,150,1
0,0,1,103,149,1
0,0,1,105,148,1
0,0,1,107,147,1
0,0,1,109,146,1
0,0,1,111,145,1
0,0,1,113,144,1
0,0,1,115,143,1
0,0,1,117,142,1
0,0,1,119,141,1
0,0,1,121,140,1
0,0,1,123,139,1
0,0,1,125,138,1
0,0,1,127,137,1
0,0,1,129,136,1
0,0,1,131,135,1
0,0,1,133,134,1
0,0,1,135,133,1
